歴史,249586
言語,10423
記事,20613
起源,6097
世界,12947
人口,47124
順位,6168
項目,896031
日本語,10170
特徴,52382
系統,8881
構造,49336
論文,15450
種類,15912
目的,10309
対象,6092
状況,40038
分野,8298
親族,8870
近代,5365
江戸時代,13907
古代,6396
出典,289949
経済,20534
社会,6343
文化,19215
地域,26522
場所,6731
国内,10663
大学,23401
参考文献,423725
曖昧さ回避,100309
世紀,16713
政治,10794
行政,24387
歴代,47743
気候,8549
地理,92085
河川,10345
公園,5903
企業,16508
世帯,12762
交通,94523
空港,5972
鉄道,25475
道路,69299
一般,14744
スポーツ,16250
姉妹都市,14424
都市,25480
ヨーロッパ,6065
現代,7840
国際,10370
時代,73352
各国,6757
宗教,5698
ギャラリー,16514
形態,19255
環境,8113
日本,142368
機関,8802
ドイツ,11710
データ,33550
家族,17024
後期,5985
書籍,34616
学会,5509
個人,30721
サイト,6979
紀元,5367
初期,14466
文学,5461
画像,16057
イギリス,12699
政府,5738
地方,8481
行政区画,11117
アメリカ合衆国,19584
団体,14269
名義,6928
地理歴史,12926
名称,21867
イベント,17199
祭事,8952
地名,23901
キャラクター,14493
名所,10916
旧跡,9041
神社,6238
海外,6875
特色,6229
事業,19800
店舗,11200
鉄道路線,9336
路線,57042
路線バス,7609
バス路線,8520
警察,5075
本社,17563
事業所,8265
高等学校,8731
中学校,23846
小学校,14386
出身,63217
人物,193407
英,6452
巻,5278
会社,9252
人間,8629
行事,6020
技術,8665
年月日,230520
映画,73642
テレビ番組,13953
映像作品,6233
作品,200450
情報,39616
中心,7330
学科,13190
形式,7729
性質,9709
基礎,5345
内容,35616
背景,19962
年代,31256
システム,11786
仕様,7255
政策,6580
音楽,19862
学者,9654
フランス,13590
著書,77137
日本語訳,5867
周辺,71861
基本,6918
資料,13244
史跡,6353
ロシア,6227
事件,18217
メディア,11573
ラジオ,19449
舞台,40841
中世,5239
テレビ,25388
女性,8169
アメリカ,11529
概略,6272
専門,7070
生い立ち,13711
用途,7991
沿革,158983
初代,8672
第二次世界大戦,6302
大会,29505
文献,21304
作家,6626
ミュージシャン,12873
曲,8738
歌手,5762
英語,13183
スタブ,13667
方式,7523
産業,10542
原作,7190
グループ,16574
用語,16999
参考資料,20811
メーカー,5357
アーティスト,7410
経緯,20364
シングル,27112
オリジナル,5171
モデル,9913
収入,6686
リスト,29194
日本の漫画,6304
タイトル,39326
あらすじ,50202
テレビアニメ,17884
ゲーム,23018
登場人物,60119
主要人物,6162
小説,16386
商品,16441
来歴,141995
エピソード,29109
ルール,5559
昭和,21617
単著,11416
略歴,100943
漫画,15533
共著,15059
人名,11801
頁,6886
生年,8773
ステージ,5326
関係者,13704
番組,64606
俳優,8813
テレビドラマ,38462
経歴,171843
ラジオ番組,7715
東京都,14078
ドラマ,12992
逸話,6628
国道,5187
シリーズ,33327
アニメ,12346
男性,5281
姓,11355
メンバー,32165
雑誌,18574
ディスコグラフィ,11933
アルバム,42849
ライブ,9681
ディスコグラフィー,15578
ミュージック,5302
地区,15037
自治体,35595
バス,17594
県道,5688
放送局,9639
法律,5126
年月,56814
機器,5392
基準,6059
東京,11615
系列,7982
スタッフ,45853
チーム,17070
中国,19352
制度,8209
生まれ,5641
年表,20368
月日,24171
郡,14167
明治,11603
都道府県,7742
市町村,5157
平成,11085
年度,46927
催事,6450
観光スポット,6505
事項,12236
文化財,12664
戦国時代,5847
楽曲,15331
愛称,5772
北海道,8679
実績,8274
政治家,7930
協会,5839
韓国,6547
主題歌,20799
ビデオ,7263
声優,5016
本名,6099
規格,6641
駅,38600
車両,18896
ゲスト,5914
諸元,5494
事故,7234
架空,6662
日程,11001
ネット,11137
映像,8099
ソフト,7117
カレンダー,5198
写真集,8593
オリジナルビデオ,5257
劇場アニメ,9426
ベスト,5281
学校,14960
株式会社,7823
編著,19844
ストーリー,21465
イタリア,8753
製品,14001
誕生日,17149
リーグ,7876
選手,32104
タイトル獲得,5914
打撃,13820
部門,7072
吹き替え,11400
学区,19737
センター,6603
物語,5509
有名人,5736
番,7404
階級,5111
業績,6671
教授,7946
バンド,5426
レース,7302
女子,11780
男子,11188
私生活,6979
伝記,8456
テレビシリーズ,5337
出身地,17193
区間,5579
電車,6659
列車,5004
関連会社,6949
生年月日,16290
中華人民共和国,6751
所在地,37091
小惑星,7009
書誌情報,11362
生態,11633
広がり,12803
キャスト,18267
沿線,12594
シーズン,15333
系譜,9802
動態,7935
登場キャラクター,7007
高校,6006
履歴,6074
資格,6304
むら,10738
ランキング,6048
予選,7397
決勝,8779
キャリア,5015
隣,43039
ブランド,5801
通称,7759
最終,7105
出演者,26680
実業家,6184
業務,5272
クラブ,18736
戦績,26038
成績,96071
戦い,6485
アナウンサー,5017
放送時間,19818
コーナー,14675
オブ,5312
栄典,7590
郵便番号,19384
コース,5004
選手権,5767
プロ入り,11679
背番号,21173
キャンパス,5713
学生,6022
卒業生,5975
祭神,6638
のり,14364
部隊,7628
区域,12775
所属クラブ,20568
チャート,5765
町名,6038
目標,5694
寺院,5547
方面,7159
取扱,5460
血統,6978
所属選手,7172
試合結果,5365
武将,7152
公立,7124
同名,10552
得意技,5229
藩主,6657
子女,5698
傘下,6186
パーソナリティ,5629
投手,12546
名誉教授,6558
準決勝,5008
重複区間,7421
道号,22073
収録曲,84028
